7,"特种作业人员未按照国家有关规定经专门的安
全作业培训并取得相应资格上岗作业的。",符合,"特种作业人员按照国家有关规定经
专门的安全作业培训，取证上岗。"
8,"选用不符合资质的承包商或未对承包商的安全
生产工作统一协调、管理的。",符合,承包商资质符合相关要求。
9,"将火种带入易燃易爆场所或存在脱岗、睡岗、
酒后上岗行为的。",符合,检查中未发现此类现象。
10,"在役化工装置未经正规设计且未进行安全设计
诊断的。",符合,企业生产装置经正规设计。
11,"新开发的危险化学品生产工艺未经逐级放大试
验到工业化生产或首次使用的化工工艺未经省
级人民政府有关部门组织安全可靠性论证的。",符合,未涉及。
12,未按规定制定操作规程和工艺控制指标的。,符合,"按规定制定操作规程和工艺控制指
标。"
13,"生产、储存装置及设施超温、超压、超液位运
行的。",符合,"生产、储存装置及设施未超温、超
压、超液位运行。"
14,"在厂房、围堤、窨井等场所内设置有毒有害气
体排放口且未采取有效防范措施的。",符合,有毒有害气体排放口有防范措施。
15,"涉及液化烃、液氨、液氯、硫化氢等易燃易爆
及有毒介质的安全阀及其他泄放设施直排大气
的（环氧乙烷的排放应采取安全措施）。",——,不涉及。
16,"液化烃、液氨、液氯等易燃易爆、有毒有害液
化气体的充装未使用万向节管道充装系统的。",——,不涉及。
17,浮顶储罐运行中浮盘落底的。,——,未涉及浮顶储罐。
18,"安全设备的安装、使用、检测、维修、改造和
报废不符合国家标准或行业标准；或使用国家
明令淘汰的危及生产安全的工艺、设备的。",符合,"按要求进行安全设备的安装、使用、
检测、维护。"
19,"油气储罐未按规定达到以下要求的：
（1）液化烃的储罐应设液位计、温度计、压力
表、安全阀，以及高液位报警和高高液位自动
连锁切断进料措施；全冷冻式液化烃储罐还应
设真空泄放设施和高、低温度检测，并应与自
动控制系统相联；
（2）气柜应设上、下限位报警装置，并宜设进
出管道自动联锁切断装置；
（3）液化石油气球形储罐液相进出口应设置紧
急切断阀，其位置宜靠近球形储罐；
（4）丙烯、丙烷、混合C4、抽余C4及液化石
油气的球形储罐应设置注水措施。",——,未涉及油气储罐。
20,"涉及危险化工工艺、重点监管危险化学品的装
置未设置自动化控制系统；或者涉及危险化工
工艺的大型化工装置未设置紧急停车系统的。",符合,"企业危险化工工艺、罐区等已安装
相应的自动化安全控制系统；不属
于大型化工装置。"
21,"有毒有害、可燃气体泄漏检测报警系统未按照
标准设置、使用或定期检测校验；以及报警信
号未发送至有操作人员常驻的控制室、现场操
作室进行报警的。",符合,"已安装的可燃/有毒气体探测器经
校验合格，报警信号发送至人员常
驻处。"
22,"安全联锁未正常投用或未经审批摘除以及经审
批后临时摘除超过一个月未恢复的。",符合,未涉及此类情况。
23,工艺或安全仪表报警时未及时处置的。,符合,检查中未发现此类现象。
