24,"在用装置（设施）安全阀或泄压排放系统未正
常投用的。",符合,"在用装置（设施）安全阀、泄压排
放系统正常投用。"
25,"涉及放热反应的危险化工工艺生产装置未设置
双重电源供电或控制系统未设置不间断电源
（UPS）的。",符合,"设有发电机，可供消防设施的备用
电源及停电时生产的应急电源。控
制系统设UPS。"
26,未建立变更管理制度或未严格执行的。,符合,建立并执行变更管理制度，。
27,"危险化学品生产装置、罐区、仓库等设施与周
边的安全距离不符合要求的。",符合,"危险化学品生产装置、罐区、仓库
等设施与周边的安全距离满足安全
生产要求。"
28,"控制室或机柜间面向具有火灾、爆炸危险性装
置一侧有门窗的。（2017年前必须整改完成）",符合,控制室的设置符合要求。
29,"生产、经营、储存、使用危险化学品的车间、
仓库与员工宿舍在同一座建筑内或与员工宿舍
的距离不符合安全要求的。",符合,车间、仓库内未设员工宿舍。
30,"危险化学品未按照标准分区、分类、分库存放，
或存在超量、超品种以及相互禁忌物质混放混
存的。",符合,物料分类摆放。
31,"危险化学品厂际输送管道存在违章占压、安全
距离不足和违规交叉穿越问题的。",符合,无此类现象。
32,"光气、氯气（液氯）等剧毒化学品管道穿（跨）
越公共区域的。",——,不涉及。
33,"动火作业未按规定进行可燃气体分析；受限空
间作业未按规定进行可燃气体、氧含量和有毒
气体分析；以及作业过程无人监护的。",符合,按GB30871-2022的要求执行。
34,"脱水、装卸、倒罐作业时，作业人员离开现场
或油气罐区同一防火堤内切水和动火作业同时
进行的。",符合,无此类现象。
35,"在有较大危险因素的生产经营场所和有关设
施、设备上未设置明显的安全警示标志的。",符合,车间已设置明显的安全警示标志。
36,"危险化学品生产企业未提供化学品安全技术说
明书，未在包装（包括外包装件）上粘贴、拴
挂化学品安全标签的。",符合,持有一书一签。
37,"对重大危险源未登记建档，或者未进行评估、
有效监控的。",符合,企业已按要求执行。
38,"未对重大危险源的安全生产状况进行定期检
查，采取措施消除事故隐患的。",符合,企业已按要求执行。
39,易燃易爆区域使用非防爆工具或电器的。,符合,易燃易爆区域内的电器防爆。
40,"未在存在有毒气体的区域配备便携式检测仪、
空气呼吸器等器材和设备或者不能正确佩戴、
使用个体防护用品和应急救援器材的。",符合,"配备了便携式检测仪、空气呼吸器
等器材。"
