序,,,,检查
,检查内容,检查依据,实际情况,
号,,,,结果
,在储罐着火后会引起相邻的储罐受高温,,,
,辐射影响而产生次生灾害的罐区，应设,AQ3036-2010,溴素罐设有水喷淋降,
28,,,,符合
,置远程水喷淋控制系统，并要求水源充,第9.2.4条,温系统，可远程控制。,
,足，能及时快捷喷淋降温。,,,
,罐区应设置音视频监控报警系统，监视,,,
,,,溴素罐区设有视频监,
,,AQ3036-2010,,
29,突发的危险因素或初期的火灾报警等情,第10.1.1条,控。,符合
,况。,,,
,摄像监控设备的选型和安装要符合相关,,,
,,AQ3036-2010,爆炸危险区域采用防,
30,技术标准，有防爆要求的应使用防爆摄,第10.1.4条,爆摄像机。,符合
,像机或采取防爆措施。,,,
,电缆明敷设时，应选用钢管加以保护，,,电缆明敷时穿钢管保,
,,AQ3036-2010,,
31,所用保护管应与相关仪表设备等妥善连,第11.2.1条,护，连接处采用防爆接,符合
,接，电缆的连接处需安装防爆接线盒。,,线盒。,
,罐区应设置防止雷电、静电的接地保护,,,
,,AQ3036-2010,储罐区设有防雷防静,
32,系统，接地保护系统应符合GB12158 等,第11.4.1条,电接地装置。,符合
,标准的要求。,,,
,安全监控装备，应定期进行检查、维护,,,
,和校验，保持其正常运行。强制计量检,AQ3036-2010,监控装备定期检查，计,
33,,,,符合
,定的仪器和装置，应按有关标准的规定,第12.2条,量设备定期检定。,
,进行计量检定，保持其监控的准确性。,,,
,安全监控项目应建立档案，内容包括：,,,
,监控对象和监控点所在位置，监控方案,AQ3036-2010,建立了档案，有维修保,
34,,,,符合
,及其主要装备的名称，监控装备运行和,第12.3.1条,养记录。,
,维修记录。,,,
,溴素储罐应采用搪玻璃或衬铅（衬氟）,,溴素储罐采用搪玻璃,
35,的钢制容器，不应在底部或侧面开进出,,容器，顶部开进出料,符合
,料口。,,口。,
36,溴素储罐贮存上限为 90%。,,上限为 90%。,符合
,溴素储罐进出料可用泵或惰性气体驱,,,
,动，惰性压缩气体应干燥，尾气应进入,,泵驱动，尾气进入处理,符合
37,,,系统。,
,处理系统。,,,
,储罐液位显示应采用脉冲型雷达物位计,,,
,,,储罐有液位检测装置，,
,或智能外侧液位仪等，其重量宜采用电,,,
38,,,上下限报警装置，定期,符合
,子称计量，并设上下限报警装置，定期,,,
,,DB33/T2531-,校验。,
,校验。,,,
,,2022,,
,溴素储罐区应设置应急备用罐，其容积,,,
,不小于最大一只储罐的容积。储罐区四,,,
,周应设不低于 500 mm的围堰，并在围,,设置应急备用罐，大小,
,堰内存放 150 mm～200 mm 高的清水。,,相同，有应急收集池，,
,,,,符合
39,,,,
,该围堰内可设置 200 mm×200 mm（高,,池内应急水的体积不,
,×宽）的地沟并铺设盖板，储存区外可,,少于 80%。,
,设置 1 ㎥～2 ㎥溴素应急收集池，池内,,,
,应急水的体积不少于 80%。,,,
,作业现场装卸搬运人员和机具操作人,,,
,,,有相关操作规程，现场,
40,员，应遵守劳动纪律，服从指挥。无关,,,符合
,,,检查无违规操作。,
,人员不应在现场逗留。,,,
